03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;19;Homens;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Homens;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;20;10 a 14 anos;  4 019;   580;  1 558;  1 208;   431;   242;10 a 14 anos;21,0;23,8;20,5;19,6;20,9;28,1;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;21;15 a 17 anos;  1 190;   210;   534;   308;   95;   43;15 a 17 anos;6,2;8,6;7,0;5,0;4,6;5,0;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;22;18 ou 19 anos;   517;   92;   231;   143;   33;   18;18 ou 19 anos;2,7;3,8;3,0;2,3;1,6;2,1;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;23;20 a 24 anos;   957;   181;   413;   247;   80;   37;20 a 24 anos;5,0;7,4;5,4;4,0;3,9;4,3;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;24;25 a 29 anos;   850;   137;   401;   217;   64;   31;25 a 29 anos;4,4;5,6;5,3;3,5;3,1;3,6;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;25;30 a 34 anos;   948;   152;   442;   236;   77;   40;30 a 34 anos;5,0;6,2;5,8;3,8;3,7;4,7;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;26;35 a 39 anos;   989;   152;   471;   252;   73;   40;35 a 39 anos;5,2;6,2;6,2;4,1;3,6;4,6;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;27;40 a 44 anos;  1 003;   141;   434;   294;   96;   39;40 a 44 anos;5,2;5,8;5,7;4,8;4,6;4,5;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;28;45 a 49 anos;  1 078;   130;   461;   325;   115;   48;45 a 49 anos;5,6;5,3;6,1;5,3;5,6;5,5;;;;;;;;;;;;;;;;
